WeatherScenario,Iteration,Sum of ENShours
WS01,Sample 1,0
WS01,Sample 10,0
WS01,Sample 2,0
WS01,Sample 3,0
WS01,Sample 4,0
WS01,Sample 5,0
WS01,Sample 6,0
WS01,Sample 7,0
WS01,Sample 8,0
WS01,Sample 9,0
WS02,Sample 1,0
WS02,Sample 10,0
WS02,Sample 2,0
WS02,Sample 3,0
WS02,Sample 4,0
WS02,Sample 5,0
WS02,Sample 6,0
WS02,Sample 7,0
WS02,Sample 8,0
WS02,Sample 9,0
WS03,Sample 1,9
WS03,Sample 10,11
WS03,Sample 2,12
WS03,Sample 3,7
WS03,Sample 4,5
WS03,Sample 5,7
WS03,Sample 6,5
WS03,Sample 7,3
WS03,Sample 8,10
WS03,Sample 9,8
WS04,Sample 1,0
WS04,Sample 10,0
WS04,Sample 2,0
WS04,Sample 3,0
WS04,Sample 4,0
WS04,Sample 5,0
WS04,Sample 6,0
WS04,Sample 7,0
WS04,Sample 8,0
WS04,Sample 9,0
WS05,Sample 1,9
WS05,Sample 10,10
WS05,Sample 2,6
WS05,Sample 3,7
WS05,Sample 4,8
WS05,Sample 5,8
WS05,Sample 6,11
WS05,Sample 7,10
WS05,Sample 8,5
WS05,Sample 9,8
WS06,Sample 1,4
WS06,Sample 10,1
WS06,Sample 2,2
WS06,Sample 3,0
WS06,Sample 4,0
WS06,Sample 5,2
WS06,Sample 6,0
WS06,Sample 7,0
WS06,Sample 8,3
WS06,Sample 9,0
WS07,Sample 1,0
WS07,Sample 10,0
WS07,Sample 2,0
WS07,Sample 3,0
WS07,Sample 4,0
WS07,Sample 5,0
WS07,Sample 6,0
WS07,Sample 7,0
WS07,Sample 8,0
WS07,Sample 9,0
WS08,Sample 1,0
WS08,Sample 10,0
WS08,Sample 2,0
WS08,Sample 3,0
WS08,Sample 4,0
WS08,Sample 5,0
WS08,Sample 6,0
WS08,Sample 7,1
WS08,Sample 8,0
WS08,Sample 9,0
WS09,Sample 1,0
WS09,Sample 10,0
WS09,Sample 2,0
WS09,Sample 3,0
WS09,Sample 4,0
WS09,Sample 5,0
WS09,Sample 6,0
WS09,Sample 7,0
WS09,Sample 8,0
WS09,Sample 9,0
WS10,Sample 1,0
WS10,Sample 10,0
WS10,Sample 2,0
WS10,Sample 3,0
WS10,Sample 4,0
WS10,Sample 5,0
WS10,Sample 6,0
WS10,Sample 7,0
WS10,Sample 8,0
WS10,Sample 9,0
WS11,Sample 1,0
WS11,Sample 10,1
WS11,Sample 2,4
WS11,Sample 3,3
WS11,Sample 4,2
WS11,Sample 5,0
WS11,Sample 6,0
WS11,Sample 7,1
WS11,Sample 8,1
WS11,Sample 9,1
WS12,Sample 1,0
WS12,Sample 10,3
WS12,Sample 2,0
WS12,Sample 3,0
WS12,Sample 4,1
WS12,Sample 5,0
WS12,Sample 6,2
WS12,Sample 7,1
WS12,Sample 8,1
WS12,Sample 9,0
WS13,Sample 1,8
WS13,Sample 10,8
WS13,Sample 2,9
WS13,Sample 3,11
WS13,Sample 4,6
WS13,Sample 5,20
WS13,Sample 6,9
WS13,Sample 7,9
WS13,Sample 8,14
WS13,Sample 9,13
WS14,Sample 1,0
WS14,Sample 10,0
