Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,0
Sample 10,WS01,0
Sample 2,WS01,0
Sample 3,WS01,0
Sample 4,WS01,0
Sample 5,WS01,0
Sample 6,WS01,0
Sample 7,WS01,0
Sample 8,WS01,0
Sample 9,WS01,0
Sample 1,WS02,0
Sample 10,WS02,0
Sample 2,WS02,0
Sample 3,WS02,0
Sample 4,WS02,0
Sample 5,WS02,0
Sample 6,WS02,0
Sample 7,WS02,0
Sample 8,WS02,0
Sample 9,WS02,0
Sample 1,WS03,0
Sample 10,WS03,0
Sample 2,WS03,0
Sample 3,WS03,0
Sample 4,WS03,0
Sample 5,WS03,0
Sample 6,WS03,0
Sample 7,WS03,0
Sample 8,WS03,0
Sample 9,WS03,0
Sample 1,WS04,0
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,0
Sample 6,WS04,0
Sample 7,WS04,0
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,8.6
Sample 10,WS05,4.3
Sample 2,WS05,8.399999999999999
Sample 3,WS05,6.500000000000001
Sample 4,WS05,8.5
Sample 5,WS05,9.1
Sample 6,WS05,7.2
Sample 7,WS05,3.999999999999999
Sample 8,WS05,7.699999999999998
Sample 9,WS05,3.4999999999999996
Sample 1,WS06,0
Sample 10,WS06,4.699999999999999
Sample 2,WS06,1.3
Sample 3,WS06,1.8000000000000003
Sample 4,WS06,1.0999999999999999
Sample 5,WS06,4.5
Sample 6,WS06,0.7000000000000001
Sample 7,WS06,4.7
Sample 8,WS06,2.5999999999999996
Sample 9,WS06,5.400000000000001
Sample 1,WS07,0
Sample 10,WS07,0
Sample 2,WS07,0
Sample 3,WS07,0
Sample 4,WS07,0
Sample 5,WS07,0
Sample 6,WS07,0
Sample 7,WS07,0
Sample 8,WS07,0
Sample 9,WS07,0
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0
Sample 5,WS08,0
Sample 6,WS08,0
Sample 7,WS08,0
Sample 8,WS08,0
Sample 9,WS08,0
Sample 1,WS09,0
Sample 10,WS09,0
Sample 2,WS09,0
Sample 3,WS09,0
Sample 4,WS09,0
Sample 5,WS09,0
Sample 6,WS09,0
Sample 7,WS09,0
Sample 8,WS09,0
Sample 9,WS09,0
Sample 1,WS10,0
Sample 10,WS10,0
Sample 2,WS10,0
Sample 3,WS10,0
Sample 4,WS10,0
Sample 5,WS10,0
Sample 6,WS10,0
Sample 7,WS10,0
Sample 8,WS10,0
Sample 9,WS10,0
Sample 1,WS11,0
Sample 10,WS11,0
Sample 2,WS11,0
Sample 3,WS11,0
Sample 4,WS11,0
Sample 5,WS11,0
Sample 6,WS11,0
Sample 7,WS11,0
Sample 8,WS11,0
Sample 9,WS11,0
Sample 1,WS12,0
Sample 10,WS12,0
Sample 2,WS12,0
Sample 3,WS12,0
Sample 4,WS12,0
Sample 5,WS12,0
Sample 6,WS12,0
Sample 7,WS12,0
Sample 8,WS12,0
Sample 9,WS12,0
Sample 1,WS13,23.500000000000004
Sample 10,WS13,15.700000000000001
Sample 2,WS13,9.6
Sample 3,WS13,20.7
Sample 4,WS13,29.7
Sample 5,WS13,10.899999999999999
Sample 6,WS13,4.4
Sample 7,WS13,15.199999999999996
Sample 8,WS13,8.799999999999999
Sample 9,WS13,15.6
Sample 1,WS14,0
Sample 10,WS14,0
Sample 2,WS14,0
Sample 3,WS14,0
Sample 4,WS14,0
Sample 5,WS14,0
Sample 6,WS14,0
Sample 7,WS14,0
Sample 8,WS14,0
Sample 9,WS14,0
Sample 1,WS15,36.7
Sample 10,WS15,24.000000000000004
Sample 2,WS15,14.899999999999999
Sample 3,WS15,19.700000000000003
Sample 4,WS15,16.599999999999994
Sample 5,WS15,12.700000000000001
Sample 6,WS15,14.099999999999996
Sample 7,WS15,21.199999999999996
Sample 8,WS15,10.7
Sample 9,WS15,16.6
Sample 1,WS16,0
Sample 10,WS16,0
Sample 2,WS16,0
Sample 3,WS16,0
Sample 4,WS16,0
Sample 5,WS16,0
Sample 6,WS16,0
Sample 7,WS16,0
Sample 8,WS16,0
Sample 9,WS16,0
Sample 1,WS17,0
Sample 10,WS17,0
Sample 2,WS17,0
Sample 3,WS17,0
Sample 4,WS17,0
Sample 5,WS17,0
Sample 6,WS17,0
Sample 7,WS17,0
Sample 8,WS17,0
Sample 9,WS17,0
Sample 1,WS18,9.9
Sample 10,WS18,8.8
Sample 2,WS18,11.100000000000001
Sample 3,WS18,7.6
Sample 4,WS18,9.3
Sample 5,WS18,6.8
Sample 6,WS18,5.6000000000000005
Sample 7,WS18,7.2
Sample 8,WS18,11.399999999999999
Sample 9,WS18,8.6
Sample 1,WS19,3.4
